id,title,description,analyst,department,contact,resolution
1,Phishing email targeting finance team,"A fake invoice email was sent to several members of the finance team pretending to be from a vendor. One employee clicked the link and entered credentials on a fake site.",Alice Wong,Security Operations,"alice.wong@company.com, +852-9123-4567","Compromised account reset, phishing domain blocked, and user awareness training conducted."
2,Malware infection via USB device,"An engineer connected a personal USB drive to a workstation on the manufacturing network. Malware was detected by EDR but blocked before execution.",David Liu,Endpoint Protection,"david.liu@company.com, +852-9456-7821","Device isolated, malware sample analyzed, and removable media policy enforced."
3,Unauthorized database access,"An external IP attempted multiple login attempts to the HR database. The attacker successfully accessed one account with weak credentials.",Sophia Zhang,Database Security,"sophia.zhang@company.com, +852-9333-8214","Password reset for all HR accounts, MFA enforced, and IP address blocked."
4,Credential leakage on GitHub,"A developer accidentally pushed AWS access keys to a public GitHub repository.",Michael Chen,Cloud Security,"michael.chen@company.com, +852-9788-2345","Keys revoked immediately, IAM roles rotated, and pre-commit secret scanning implemented."
5,Unusual outbound traffic detected,"SOC noticed a large data exfiltration attempt from a workstation to an unknown IP. Investigation found it related to a compromised third-party plugin.",Emily Tan,Network Defense,"emily.tan@company.com, +852-9312-1176","Connection blocked, plugin removed, and vendor notified."
6,Ransomware in internal server,"A shared file server was encrypted by ransomware. Backup was available and restored successfully.",John Lee,Incident Response,"john.lee@company.com, +852-9800-6654","System isolated, ransomware sample analyzed, and patching applied to prevent reoccurrence."
7,Email spoofing of executive identity,"Attackers spoofed the CEO's email address to trick HR into sending employee data.",Grace Lin,Threat Intelligence,"grace.lin@company.com, +852-9233-9021","Implemented SPF/DKIM/DMARC, awareness training, and external mail banner policy."
8,Failed login alert spike,"Splunk detected a spike in failed logins from VPN accounts during non-working hours. Investigation showed a credential stuffing attempt.",Kevin Zhou,SIEM Engineering,"kevin.zhou@company.com, +852-9523-7781","IPs blacklisted, password resets enforced, and added rate-limiting on VPN portal."
9,Suspicious PowerShell execution,"EDR detected obfuscated PowerShell commands on a developer workstation. Investigation revealed it was a pen test activity.",Ryan Ho,Red Team Coordination,"ryan.ho@company.com, +852-9102-3312","Confirmed authorized test, improved tagging of red team activities in SOC alerts."
10,Data loss prevention alert,"Large file upload to external file-sharing service triggered DLP alert. The user was transferring project data to a personal account.",Catherine Wu,Data Protection,"catherine.wu@company.com, +852-9400-8822","User interviewed, data deleted from cloud, and DLP rules updated."
